zone_id,abbreviation,gmt_offset,dst
188,ACST,34200,0
211,KDT,34200,1
325,LMT,34248,0
323,LMT,34374,0
45,ACWDT,35100,1
33,AEST,36000,0
243,CHOST,36000,1
177,ChST,36000,0
153,CHUT,36000,0
12,DDUT,36000,0
177,GST,36000,0
201,JDT,36000,1
211,KDT,36000,1
323,MAGT,36000,0
286,PGT,36000,0
12,PMT,36000,0
325,SAKT,36000,0
322,VLAST,36000,1
321,VLAT,36000,0
319,YAKST,36000,1
319,YAKT,36000,0
324,LMT,36192,0
326,LMT,36892,0
39,ACDT,37800,1
33,LHST,37800,0
327,LMT,38076,0
331,LMT,38388,0
34,AEDT,39600,1
328,ANAT,39600,0
287,BST,39600,0
10,CAST,39600,0
155,KOST,39600,0
33,LHDT,39600,1
323,MAGST,39600,1
323,MAGT,39600,0
236,MHT,39600,0
34,MIST,39600,0
268,NCT,39600,0
270,NFT,39600,0
327,PETT,39600,0
154,PONT,39600,0
325,SAKST,39600,1
325,SAKT,39600,0
331,SBT,39600,0
326,SRET,39600,0
321,VLAST,39600,1
321,VLAT,39600,0
412,VUT,39600,0
268,LMT,39948,0
276,LMT,40060,0
270,NMT,40320,0
33,LHDT,41400,1
270,NFT,41400,0
276,NRT,41400,0
278,NZMT,41400,0
328,LMT,42596,0
151,LMT,42944,0
328,ANAST,43200,1
328,ANAT,43200,0
151,FJT,43200,0
205,GILT,43200,0
155,KOST,43200,0
323,MAGST,43200,1
323,MAGT,43200,0
236,MHT,43200,0
268,NCST,43200,1
276,NRT,43200,0
278,NZST,43200,1
327,PETST,43200,1
327,PETT,43200,0
325,SAKST,43200,1
364,TVT,43200,0
412,VUST,43200,1
373,WAKT,43200,0
413,WFT,43200,0
279,CHAST,44100,0
361,TOT,44400,0
270,NFST,45000,1
278,NZST,45000,1
279,CHAST,45900,0
328,ANAST,46800,1
328,ANAT,46800,0
151,FJST,46800,1
278,NZDT,46800,1
327,PETST,46800,1
206,PHOT,46800,0
357,TKT,46800,0
361,TOT,46800,0
414,WSST,46800,0
279,CHADT,49500,1
328,ANAST,50400,1
207,LINT,50400,0
361,TOST,50400,1
414,WSDT,50400,1
